laboratorio,versao,family_name,family_design,family_clinical_category,offer_id,raw_label,canonical_label,offer_clinical_category,material,indice_refracao,is_atomic_offer,already_includes_treatment,allows_composition,base_price,source_page_reference,treatment_name,treatment_type,price_mode,special_price,final_price,sph_min,sph_max,cyl_min,cyl_max,add_min,add_max,section_name,subsection_name
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,5a15b6a4-df63-4479-a2e0-e2ca0670804b,Airwear Crizal Easy Pro,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Airwear Crizal Easy Pro,visao_simples,Policarbonato,1.59,true,true,false,569.00,Pagina 27,null,null,null,null,569.00,-8.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,cb38f0b3-493b-4369-a6d7-5d35d3099669,Airwear Crizal Rock,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Airwear Crizal Rock,visao_simples,Policarbonato,1.59,true,true,false,819.00,Pagina 27,null,null,null,null,819.00,-5.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,28d146be-0495-4f65-8b88-bc32bbaaf071,Airwear Crizal Sapphire HR,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Airwear Crizal Sapphire HR,visao_simples,Policarbonato,1.59,true,true,false,929.00,Pagina 27,null,null,null,null,929.00,-5.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,7a84c508-f463-46e9-80b1-d232cbec7259,Airwear Crizal Sapphire HR Transitions Gen S Cinza,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Airwear Crizal Sapphire HR Transitions Gen S Cinza,visao_simples,Policarbonato,1.59,true,true,false,1349.00,Pagina 27,null,null,null,null,1349.00,-5.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,6078dbd0-fc70-4d25-a2b5-ce6aea9539e6,Airwear Transitions Gen S Cinza,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Airwear Transitions Gen S Cinza,visao_simples,Policarbonato,1.59,true,false,false,689.00,Pagina 27,null,null,null,null,689.00,-5.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,0c29de6e-4bcb-445c-82ca-8e5582808e35,Eyezen Start Stock 1.60 Crizal Sapphire HR,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Eyezen Start Stock 1.60 Crizal Sapphire HR,visao_simples,Resina,1.60,true,true,false,1249.00,Pagina 27,null,null,null,null,1249.00,-6.00,3.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,fa4b8ba3-2af8-4250-8f58-d0e5f8a301dd,Orma Crizal Easy Pro,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Orma Crizal Easy Pro,visao_simples,Resina,1.50,true,true,false,439.00,Pagina 27,null,null,null,null,439.00,-4.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,33055a5c-7b9f-4365-8bc2-59520b68a4c2,Orma Crizal Easy Pro Transitions Gen S Cinza,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Orma Crizal Easy Pro Transitions Gen S Cinza,visao_simples,Resina,1.50,true,true,false,989.00,Pagina 27,null,null,null,null,989.00,-4.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,881c4b84-810d-4449-8725-f2e3d943de54,Orma Crizal Prevencia,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Orma Crizal Prevencia,visao_simples,Resina,1.50,true,true,false,799.00,Pagina 27,null,null,null,null,799.00,-2.00,2.00,0.00,-1.00,null,null,LENTES PRONTAS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,Visao Simples,visao_simples,2f47820a-c999-47dd-94fd-3c4f08cf3787,Orma Crizal Rock,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL® Orma Crizal Rock,visao_simples,Resina,1.50,true,true,false,579.00,Pagina 27,null,null,null,null,579.00,-4.00,4.00,0.00,-2.00,null,null,LENTES PRONTAS,null
