laboratorio,versao,family_name,family_design,family_clinical_category,offer_id,raw_label,canonical_label,offer_clinical_category,material,indice_refracao,is_atomic_offer,already_includes_treatment,allows_composition,base_price,offer_cost_price,source_page_reference,treatment_name,treatment_type,price_mode,special_price,final_price,sph_min,sph_max,cyl_min,cyl_max,add_min,add_max,section_name,subsection_name
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,19ad113c-b5ad-4da5-b8ea-985e7b24bd4c,1.56 Ultex,Bifocais Digital Freeform 1.56 Ultex,bifocal,Resina,1.56,false,false,true,555.00,185,Pagina 21,Sigma Blue,Antirreflexo,final,1209.00,1209.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,19ad113c-b5ad-4da5-b8ea-985e7b24bd4c,1.56 Ultex,Bifocais Digital Freeform 1.56 Ultex,bifocal,Resina,1.56,false,false,true,555.00,185,Pagina 21,Sigma Light,Antirreflexo,final,861.00,861.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,19ad113c-b5ad-4da5-b8ea-985e7b24bd4c,1.56 Ultex,Bifocais Digital Freeform 1.56 Ultex,bifocal,Resina,1.56,false,false,true,555.00,185,Pagina 21,Sigma Premium,Antirreflexo,final,1095.00,1095.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,19ad113c-b5ad-4da5-b8ea-985e7b24bd4c,1.56 Ultex,Bifocais Digital Freeform 1.56 Ultex,bifocal,Resina,1.56,false,false,true,555.00,185,Pagina 21,Sigma Supreme,Antirreflexo,final,1485.00,1485.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,e50c809b-8834-43c2-934b-3aaecd42ba98,1.59 Ultex,Bifocais Digital Freeform 1.59 Ultex,bifocal,Policarbonato,1.59,false,false,true,783.00,261,Pagina 21,Sigma Blue,Antirreflexo,final,1437.00,1437.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,e50c809b-8834-43c2-934b-3aaecd42ba98,1.59 Ultex,Bifocais Digital Freeform 1.59 Ultex,bifocal,Policarbonato,1.59,false,false,true,783.00,261,Pagina 21,Sigma Light,Antirreflexo,final,1089.00,1089.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,e50c809b-8834-43c2-934b-3aaecd42ba98,1.59 Ultex,Bifocais Digital Freeform 1.59 Ultex,bifocal,Policarbonato,1.59,false,false,true,783.00,261,Pagina 21,Sigma Premium,Antirreflexo,final,1323.00,1323.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,e50c809b-8834-43c2-934b-3aaecd42ba98,1.59 Ultex,Bifocais Digital Freeform 1.59 Ultex,bifocal,Policarbonato,1.59,false,false,true,783.00,261,Pagina 21,Sigma Supreme,Antirreflexo,final,1713.00,1713.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,91805e4a-ac40-412d-ace2-649a3d6767b3,1.59 Ultex Fotossensível,Bifocais Digital Freeform 1.59 Ultex Fotossensível,bifocal,Policarbonato,1.59,false,false,true,948.00,316,Pagina 21,Sigma Blue,Antirreflexo,final,1602.00,1602.00,null,null,null,null,null,null,null,null
Gamalab,Gamalab Marco de 2026,Bifocais Digital Freeform,Bifocal,bifocal,91805e4a-ac40-412d-ace2-649a3d6767b3,1.59 Ultex Fotossensível,Bifocais Digital Freeform 1.59 Ultex Fotossensível,bifocal,Policarbonato,1.59,false,false,true,948.00,316,Pagina 21,Sigma Light,Antirreflexo,final,1254.00,1254.00,null,null,null,null,null,null,null,null
