"fonte_tabela","laboratorio","pagina_pdf","bloco_visual","familia","produto","design","material","indice_refracao","tratamento","nota_disponibilidade"
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Prevencia","Crizal Prevencia",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Rock","Crizal Rock",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Easy Pro","Crizal Easy Pro",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Optifog","Optifog",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","No Reflex","No Reflex",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Trio Easy Clean","Trio Easy Clean",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Prevencia","Crizal Prevencia",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Rock","Crizal Rock",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Easy Pro","Crizal Easy Pro",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Optifog","Optifog",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Trio Easy Clean","Trio Easy Clean",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","No Reflex","No Reflex",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Prevencia","Crizal Prevencia",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Rock","Crizal Rock",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Crizal Easy Pro","Crizal Easy Pro",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Optifog","Optifog",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","Trio Easy Clean","Trio Easy Clean",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Orma","1.50","No Reflex","No Reflex",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Rock","Crizal Rock",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Easy Pro","Crizal Easy Pro",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Optifog","Optifog",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","No Reflex","No Reflex",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Trio Easy Clean","Trio Easy Clean",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Prevencia","Crizal Prevencia",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Rock","Crizal Rock",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Easy Pro","Crizal Easy Pro",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Optifog","Optifog",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Trio Easy Clean","Trio Easy Clean",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","No Reflex","No Reflex",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Prevencia","Crizal Prevencia",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Sapphire HR","Crizal Sapphire HR",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Rock","Crizal Rock",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Crizal Easy Pro","Crizal Easy Pro",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Optifog","Optifog",""
"PVC","Essilor","12","Lentes Essilor","VS Essilor Surfaçada","Surfaçada","Airwear","1.59","Trio Easy Clean","Trio Easy Clean",""
