fonte_tabela,laboratorio,pagina_pdf,bloco_visual,familia,produto,design,material,indice_refracao,tratamento,treatment_group,treatment_application,transitions,transitions_cores,blue_uv,esferico_min,esferico_max,cilindrico_max,adicao_min,adicao_max,preco_tipo,preco_par_brl,nota_disponibilidade
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,1219.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,1219.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,949.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,599.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,839.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,449.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,,,não,-10.00,+7.50,-6.00,,,absoluto,399.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,,,sim,-10.00,+6.50,-6.00,,,absoluto,1299.00,Blue UV +R$80 vs base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,sim,-10.00,+6.50,-6.00,,,absoluto,1299.00,Blue UV +R$80 vs base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,standard,,,sim,-10.00,+6.50,-6.00,,,absoluto,1029.00,Blue UV +R$80 vs base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,,,sim,-10.00,+6.50,-6.00,,,absoluto,679.00,Blue UV +R$80 vs base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,standard,,,sim,-10.00,+6.50,-6.00,,,absoluto,919.00,Blue UV +R$80 vs base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,standard,,,sim,-10.00,+6.50,-6.00,,,absoluto,529.00,Blue UV +R$80 vs base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,,,sim,-10.00,+6.50,-6.00,,,absoluto,479.00,Blue UV +R$80 vs base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,2009.00,Transitions Gen S +R$790 vs Blue UV base
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,2009.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Rock,Crizal Rock,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,1739.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,1389.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Optifog,Optifog,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,1629.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,No Reflex,No Reflex,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,1239.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,1189.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Sem AR,Sem AR,standard,Transitions Gen S,"C,M,V,A,A,S,R,E",sim,-10.00,+8.25,-6.00,,,absoluto,989.00,
PVC,Essilor,12,VS Surfaçada - Principal,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,Transitions Extractive,C,sim,-10.00,+8.25,-6.00,,,absoluto,2079.00,Transitions Extractive +R$860 vs Blue UV base
