fonte_tabela,laboratorio,pagina_pdf,bloco_visual,familia,produto,design,material,indice_refracao,tratamento,treatment_group,treatment_application,transitions,transitions_cores,blue_uv,esferico_min,esferico_max,cilindrico_max,adicao_min,adicao_max,preco_tipo,preco_par_brl,nota_disponibilidade
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Blue UV,Blue UV,standard,,,sim,-10.00,+6.50,-6.00,absoluto,1299.00,,,Blue UV = +R$80 vs Orma base,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Crizal Prevencia,Crizal Prevencia,standard,,,não,-12.00,+9.25,-6.00,absoluto,1419.00,,,Airwear = +R$200 vs Orma,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Blue UV,Blue UV,standard,,,sim,-12.00,+9.25,-6.00,absoluto,1499.00,,,Blue UV = +R$80 vs Airwear base,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Prevencia,Crizal Prevencia,standard,,,não,-14.00,+10.00,-8.00,absoluto,2309.00,,,+R$1000 vs Airwear,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.74,1.74,Crizal Sapphire HR,Crizal Sapphire HR,standard,,,não,-20.00,+14.00,-8.00,absoluto,3019.00,,,+R$780 vs Stylis 1.67; cilíndrico Stylis 1.74 até -8.00,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Cinza,Xperio,standard,,,não,-10.00,+8.00,-6.00,absoluto,1079.00,,,Bloco solar; Crizal Sapphire HR Face Interna incluso,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Marrom,Xperio,standard,,,não,-10.00,+8.00,-6.00,absoluto,1079.00,,,Bloco solar; Crizal Sapphire HR Face Interna incluso,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Verde,Xperio,standard,,,não,-10.00,+8.00,-6.00,absoluto,1079.00,,,Bloco solar; Crizal Sapphire HR Face Interna incluso,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Cinza,Xperio,standard,,,não,-12.00,+9.25,-6.00,absoluto,1279.00,,,Bloco solar; Crizal Sapphire HR Face Interna incluso,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Marrom,Xperio,standard,,,não,-12.00,+9.25,-6.00,absoluto,1279.00,,,Bloco solar; Crizal Sapphire HR Face Interna incluso,
PVC,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Verde,Xperio,standard,,,não,-12.00,+9.25,-6.00,absoluto,1279.00,,,Bloco solar; Crizal Sapphire HR Face Interna incluso,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Cinza,Xperio,standard,,,não,-10.00,+8.00,-6.00,absoluto,521.00,,,Bloco solar,
PVO,Essilor,12,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Cinza,Xperio,standard,,,não,-12.00,+9.25,-6.00,absoluto,606.00,,,Bloco solar,
