familia,pagina_pdf,categoria,tier,cor,tratamento,notas,material_col1,grade_col1,preco_col1,status_col1,material_col2,grade_col2,preco_col2,status_col2,material_col3,grade_col3,preco_col3,status_col3,material_col4,grade_col4,preco_col4,status_col4,material_col5,grade_col5,preco_col5,status_col5,material_col6,grade_col6,preco_col6,status_col6
MiYOSMART,9,Lentes Especiais,Especial - Controle de Miopia,INCOLOR,Antirreflexo MiYOSMART,,Prontas,-6.00 a 0.00,2.099,,Surfacadas,-13.00 a 0.00,2.099,,,,,,,,,,,,,,,,,
MiYOSMART,9,Lentes Especiais,Especial - Controle de Miopia,CHAMELEON,Antirreflexo MiYOSMART,CHAMELEON apenas surfacada,Prontas,,,,Surfacadas,-10.00 a 0.00,2.099,,,,,,,,,,,,,,,,,
MiYOSMART,9,Lentes Especiais,Especial - Controle de Miopia,SUNBIRD,Antirreflexo MiYOSMART,SUNBIRD apenas surfacada,Prontas,,,,Surfacadas,-10.00 a 0.00,2.099,,,,,,,,,,,,,,,,,
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,INCOLOR,Hi-Vision Meiryo,1.50 sem Meiryo INCOLOR,1.74,-20.00 a +12.00*,4.549,,1.67,-15.00 a +10.00,4.049,,1.60 (EYAS 2.0),-13.00 a +8.00,3.159,,1.59,-13.00 a +9.00,2.699,,1.50,-10.00 a +10.00,,,,,,
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,INCOLOR,Hi-Vision LongLife BlueControl,,1.74,-20.00 a +12.00*,4.349,,1.67,-15.00 a +10.00,3.849,,1.60 (EYAS 2.0),-13.00 a +8.00,2.959,,1.59,-13.00 a +9.00,2.499,,1.50,-10.00 a +10.00,2.149,,,,,
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,INCOLOR,No-Risk BlueControl,1.74 sem No-Risk BC,1.74,-20.00 a +12.00*,,,1.67,-15.00 a +10.00,3.599,,1.60 (EYAS 2.0),-13.00 a +8.00,2.709,,1.59,-13.00 a +9.00,2.249,,1.50,-10.00 a +10.00,1.899,,,,,
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,SENSITY 2,Hi-Vision Meiryo,EM BREVE col1 (1.74) e col3 (1.60) | col5 (1.50) sem Sensity Meiryo,1.74,,,,1.67,-15.00 a +10.00,5.249,,1.60 (EYAS 2.0),,,,1.59,-13.00 a +9.00,3.899,,1.50,-10.00 a +10.00,,,,,,
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,SENSITY 2,Hi-Vision LongLife BlueControl,,1.74,,,,1.67,-15.00 a +10.00,5.049,,1.60 (EYAS 2.0),,,,1.59,-13.00 a +9.00,3.699,,1.50,-10.00 a +10.00,3.349,,,,,
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,SENSITY 2,No-Risk BlueControl,,1.74,,,,1.67,-15.00 a +10.00,4.799,,1.60 (EYAS 2.0),,,,1.59,-13.00 a +9.00,3.449,,1.50,-10.00 a +10.00,3.099,,,,,
NULUX iDENTITY V+,12,Lentes de Visao Simples Surfacadas,Surfacada Bi-Asferica Individualizada,SENSITY SHINE,Light Mirror,Sensity SHINE = Light Mirror - produto NOVIDADE,1.74,,,,1.67,-15.00 a +10.00,5.449,,1.60 (EYAS 2.0),,,,1.59,-13.00 a +9.00,4.099,,1.50,-10.00 a +10.00,3.749,,,,,
