fonte_tabela,laboratorio,pagina_pdf,bloco_visual,familia,produto,design,material,indice_refracao,tratamento,treatment_group,treatment_application,transitions,transitions_cores,blue_uv,esferico_min,esferico_max,cilindrico_max,adicao_min,adicao_max,preco_tipo,preco_par_brl,nota_disponibilidade
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1979.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1979.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Rock,Crizal Rock,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1709.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1359.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Optifog,Optifog,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1599.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,No Reflex,No Reflex,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1209.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1159.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Verniz HC,Verniz HC,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,959.00,
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2119.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2119.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Rock,Crizal Rock,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1849.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1499.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Optifog,Optifog,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1739.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,No Reflex,No Reflex,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1349.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1299.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Verniz HC,Verniz HC,standard,nao,,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1099.00,+Blue UV
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2919.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2919.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Rock,Crizal Rock,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2649.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2299.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Optifog,Optifog,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2539.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,No Reflex,No Reflex,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2149.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Trio Easy Clean,Trio Easy Clean,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2099.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Verniz HC,Verniz HC,standard,sim,C/M/V/A/S/R/E,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,1899.00,Transitions Gen S
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Prevencia,Crizal Prevencia,standard,sim,C,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2989.00,Transitions Extractive
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Sapphire HR,Crizal Sapphire HR,standard,sim,C,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2989.00,Transitions Extractive
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Rock,Crizal Rock,standard,sim,C,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2719.00,Transitions Extractive
PVC,Kodak,13,Multifocal Digital,Kodak,Kodak Unique Infinite,Multifocal Digital,Orma,1.50,Crizal Easy Pro,Crizal Easy Pro,standard,sim,C,sim,-10.00,+5.25,-6.00,1.00,3.50,absoluto,2369.00,Transitions Extractive
