Marca,modelo,quantidade,valor
DIESEL,DS 0094 D287A 62.14,1,759
IRON,68 HERLOT WINNER 426,1,210
SALVATORE FERRAGAMO,2081 101/87,1,1049
CARRERA,130 CHAP FAST SGN 55.,1,579
VALENTINO,5377/S 006P8 125,1,798
VICTOR HUGO,SH 1532 COL 290,1,590
ANA HICKMANN,AHS039 A01 64/13,1,590
GUESS,GU 7256 BLK-35,1,650
VIA LORRAN,6C PC-520GFS,1,175
DOLCE & GABBANA,3021 824/8G 60/17,1,1390
DIESEL,D50104 04CLF 62,1,965
FORUM,1151 81 13 125 3F78,1,459
VERSUS,5011-B 1000/7A 65,1,719
VICTOR HUGO,SH 1042 531,1,827
VERSACE,2034 1066/87 110,1,1113
CHRISTIAN DIOR,DIOR STELLEN 58495 110,1,1590
PRADA,SPR 17H 7JS-1A1,1,780
SILOÉ,365 60/17,1,178
VOGUE,VO 3469-S 548/18,1,761
CARRERA,METAL MASCULINO,2,650
