código;fornecedor;endereço;cidade;cep;contato;fone1;fone2;fax;representante;fone rep1;fone rep2;email;email rep;Cod Cliente;obs
1;VIVA BRASIL;Rua Umbú, 219 Terreo, Cond. Empresarial Alphaville;Campinas SP;13098-325;;0800 703 2993;19 2101-6900;19 2101-6999;;;;vivabrasil@vivadobrasil.com.br;;21260;
2;MORMAII - JR ADAMVER IND. E COM. DE PROD. ÓTICOS LTDA.;Rod. SC 401 KM 7,5 nº 6901 - Sto Antonio de Lisboa;Florianópolis SC;88050-000;;0800 283 8802;;;Vaguinho;41 3532-0655;;cliente@mormaiieyewear.com;;B12104;Conta: ag 3425-8 cc 521126 Banco do Brasil
3;OAKLEY;Dep. de Garantia - Cx Postal 513;Diadema SP;09930-970;Roberta;08007039444;(11) 4003-7822 (cliente);logista@oakley.com;Everton Diniz;43 9653 9855 whatsapp;;sac@oakley.com;diniz.oakley@hotmail.com;1063291;"Documentos necessários: NF, Nome Completo, Endereço, Fones contato, CPF, RG, Descrição do Serviço solicitado.
Dep.. Juridico Cx postal 503 CEP 09930-970 DIADEMA-SP"
4;SUNTECH;Rua Maria Soldera Lorençon, 52 - Santa Júlia;Itupeva SP;13295-000;Denise;(11) 4591-8600;(11) 4591-8610 - Mari direto;(11) 4591-1020;Julio Cesar;43 9855-0001;julioperandre@gmail.com;denise.borges@hb.com.br;;;"Os pedidos devem ser feitos por email.

ASSISTENCIA SOLAR

Descrever defeito

NOTA FISCAL
Natureza da Operação: Remessa para conserto              

Não destacar IPI e ICMS CFOP: 6915 
Valor simbólico óculos solar: R$ 211,00
Valor simbólico de óculos oftámilco: R$ 169,50 

Razão Social: 
Suntech Supplies Ind. E Com. De Prod. Óticos e Esportivos Ltda 

CNPJ:04.175.844/0001-24
Inscrição Estadual: 388.070.164.119

ENDEREÇO DE ENVIO:
A/C Assistência Técnica HB
Rua: Maria Soldera Lorençon, 52
Bairro: Santa Julia
Cep: 13295-000
Itupeva - SP"
5;LUXOTTICA DO BRASIL;Av. Tamboré, 1180 - Mod B03 - Tamboré;Barueri SP;06460-000;;0800 703 9444  2183-8200;(11) 2183-8240;(11) 2183-8294;MAURO (RAY BAN) FELIX (DG E PRADA);41 9663 0330              48 9626 9166 / 9980 1145;;servicos@br.luxottica.com;;1063291 (073077 - stos dumont);"Procedimento para troca de produtos - Pessoa Jurídica


1) A loja deverá preencher uma XEROX da sua nota fiscal com a :

Natureza de Operação: DEVOLUÇÃO

CFOP 6.202 (fora do Rio de Janeiro), 
CFOP 5.202 (dentro do Rio de Janeiro); 
2) O endereço a ser colocado no cabeçalho da NF é:   

LUXOTTICA BRASIL PRODUTOS ÓTICOS E ESPORTIVOS LTDA 
Rua Embaú, nº 2207 Módulos 7/9
Bairro: Pavuna – Parque Colúmbia
Rio de Janeiro/ RJ 
CEP: 21535-000 
CNPJ: 04-692. 027/0004-96 
I.E. 77.745-181. 

3) É obrigatório o preenchimento da NF com a descrição do produto, o código, valor de compra e o número da NF de aquisição;
  
4) Preencher o formulário adicional de troca  anexado neste e-mail, com o código do produto, cor, tamanho, NF de compra e o defeito apresentado em cada peça.

5) Destaca-se IPI, para notas fiscais emitidas a partir de 01 de outubro de 2007 este IPI é vinculado ao produto e não a nota fiscal. Destaca-se o ICMS somente em casos de empresas Ltda,  o  valor total da NF e valor total dos produtos também são obrigatórios; 

6) Deve-se então enviar um fax da NF para Depto. de Jurídico  no fax: (11) 4197-9971

7)  Assim que a nota enviada for corrigida, enviaremos um e-mail com um arquivo anexo, em PDF com o título de “AUTORIZAÇÃO DE REMESSA PARA RETORNO – TROCAS”. 
Este documento em PDF deverá ser grampeado junto a sua NF original. 

É importante que a NF original siga junto aos produtos fora do SEDEX.


O endereço para envio dos produtos é o mesmo do cabeçalho da NF

Rua Embaú, nº 2207 Módulos 7 e 8
Bairro: Pavuna – Parque Colúmbia
Rio de Janeiro/ RJ 
CEP: 21535-000 
CNPJ: 04-692. 027/0004-96 
I.E. 77.745-181."
6;TECNOL;Rua Luiz Otávio, 2495 - Faz Santa Cândida Cx Postal 393;Campinas SP;13087-560;;0800 703 9444;(19) 2101-5888;(19) 2101-5899;;;;tecnol@tecnol.com.br;;21260;"A TECNOL NÃO DÁ ASSISTÊNCAI DE PARTES DAS PEÇAS. 
SE FOR DEFEITO DE FABRICAÇÃO, FAZEM A TROCA DA PEÇA TODA."
7;CMC BRAZIL PRODUTOS OPTICOS LTDA;Av. Visconde de Guarapuava, 3444 6º andar - Centro;Curitiba PR;80250-220;;(41) 3024-0060;;(41) 3024-0061;;;;atendimento@cmcbrazil.com.br;;;
8;ALPHALINE BRASIL LTDA;Rua Nicolau Cacciatori, 372 - Jd dos Pinheiros;Presidente Prudente SP;19050-340;;0800 704 1990;(18) 2101-4200;(18) 2101-4200;Jean Couan;;;alphaline@alphaline.com.br;;5358;"Ligar após 14:00.
junior
garantia@alphaline.com.br
cnpj
uso"
9;MASTER GLASSES;;;;;;;;;;;sacsul@masterglasses.com.br;;;
10;WILVALE DE RIGO;AV. GAL CHARLES DE GAULLE, 311;São Paulo SP;05124-000;;(11) 3837-9133;0800 770 1632;(11) 3831-9169;;;;;;3874;
11;Outros;;;;;;;;;;;;;;
12;SÁFILO;;;;;0800701-2097;;;;;;;;6226 (15324 - guaira);CODIGO DA PRISMA DA SANTOS DUMONT
13;MARCHON;;;;;08007071516;;;;;;;;015359;Jessica / Marina
