Código;Lk_venda;Lk_produto;Qtd;Valor vendido;Custo;Valor normal
51;46;6116;1;240,00;0,00;
52;46;1534;1;110,00;0,00;
53;47;1542;1;200,00;0,00;
54;48;5221;0,5;110,00;0,00;
55;48;1534;0,5;55,00;0,00;
56;50;1533;1;70,00;0,00;
57;50;6949;1;290,00;0,00;
58;51;1770;1;150,00;0,00;
59;52;1534;1;110,00;0,00;
60;52;6846;1;290,00;0,00;
61;54;1534;1;80,00;0,00;
62;54;6949;1;100,00;0,00;
64;55;6977;1;290,00;0,00;
69;56;1534;1;100,00;0,00;
70;56;1533;2;120,00;0,00;
71;56;4576;1;380,00;0,00;
72;57;1534;0,5;55,00;0,00;
73;57;4253;0,5;195,00;0,00;
74;58;1552;1;150,00;0,00;
75;59;1673;1;60,00;0,00;
76;60;4815;1;450,00;0,00;
77;61;6820;1;150,00;0,00;
78;62;1533;1;70,00;0,00;
79;62;5827;1;180,00;0,00;
80;63;5836;1;100,00;0,00;
81;63;1534;1;80,00;0,00;
82;64;1760;1;350,00;0,00;
83;64;6929;1;350,00;0,00;
84;65;1555;1;540,00;0,00;
85;65;6949;1;240,00;0,00;
87;67;1534;1;90,00;0,00;
88;67;1533;1;90,00;0,00;
89;67;5836;1;100,00;0,00;
90;67;6960;1;100,00;0,00;
92;68;6025;1;190,00;0,00;
93;69;1533;1;90,00;0,00;
94;70;1542;1;210,00;0,00;
95;70;6887;1;170,00;0,00;
96;71;1542;2;0,00;0,00;
98;71;6144;1;0,00;0,00;
99;72;5221;1;345,00;0,00;
101;73;1534;1;110,00;0,00;
102;74;1760;1;360,00;0,00;
103;75;1542;1;180,00;0,00;
104;75;6994;1;280,00;0,00;
106;78;1533;1;70,00;0,00;
111;80;1542;2;300,00;0,00;
112;80;6425;1;450,00;0,00;
113;80;6932;1;190,00;0,00;
114;86;1533;1;30,00;0,00;
115;88;1533;1;70,00;0,00;
116;77;1542;1;190,00;0,00;
117;90;1721;1;315,00;0,00;
119;90;6612;1;423,00;0,00;
120;91;1542;1;210,00;0,00;
121;91;6949;1;180,00;0,00;
122;94;1533;1;60,00;0,00;
123;94;5882;1;240,00;0,00;
124;95;1533;1;60,00;0,00;
125;95;1534;1;90,00;0,00;
127;95;6752;1;240,00;0,00;
128;96;6659;1;390,00;0,00;
