Código;codigo;Marca;Logo;tabela?;lK_fornecedor
1;155;Ana Hickmann;;VERDADEIRO;11
2;156;Arnette;;VERDADEIRO;
3;157;Burberry;;VERDADEIRO;
4;158;Bvlgari;;VERDADEIRO;
5;159;Carrera;;VERDADEIRO;31
6;160;Dolce e Gabbana;;VERDADEIRO;
7;161;Diesel;;VERDADEIRO;
8;162;Cristhian Dior;;VERDADEIRO;
9;163;Emporio Armani;;VERDADEIRO;
10;164;Enjoy;;VERDADEIRO;
11;165;Escada;;VERDADEIRO;10
12;166;Fox;;VERDADEIRO;
13;167;Giorgio Armani;;VERDADEIRO;
14;168;Gucci;;VERDADEIRO;
15;169;Guess;;VERDADEIRO;1
16;170;HB;;VERDADEIRO;4
17;171;Miu Miu;;VERDADEIRO;5
18;172;Mormaii;;VERDADEIRO;2
19;173;Oakley;;VERDADEIRO;3
20;174;Prada;;VERDADEIRO;
21;175;Polo Ralph Lauren;;VERDADEIRO;
22;176;Ray Ban;;VERDADEIRO;5
23;177;Reebok;;VERDADEIRO;
24;178;Renata Regis;;VERDADEIRO;
25;179;Rodenstock;;VERDADEIRO;
26;180;Salvatore Ferragamo;;VERDADEIRO;
27;181;Speedo;;VERDADEIRO;
28;182;Valentino;;VERDADEIRO;
29;183;Versace;;VERDADEIRO;5
30;184;Versus;;VERDADEIRO;
31;185;Vogue;;VERDADEIRO;
32;186;Victor Hugo;;VERDADEIRO;10
33;187;X Treme;;VERDADEIRO;8
34;188;Safilo;;VERDADEIRO;31
35;189;Seventh Street;;VERDADEIRO;
36;190;Paparazzi;;FALSO;
37;191;outros;;FALSO;
38;192;DJ;;FALSO;
39;193;Marie Jean;;VERDADEIRO;
40;194;Galera;;FALSO;
41;195;Sun;;FALSO;
42;196;Smart;;FALSO;
43;197;Boss;;FALSO;
44;198;Bacchio;;FALSO;
45;199;Siloé;;FALSO;
46;200;Equilibrium;;FALSO;
47;201;Fuslotus;;FALSO;
48;202;Fenzo;;FALSO;
49;203;Alfani;;FALSO;
50;204;Via Lorran;;VERDADEIRO;
51;205;Sky Lark;;FALSO;
52;206;Country;;FALSO;
53;207;Discovery;;FALSO;
54;208;Zoomp;;FALSO;
55;209;Alan Garraud;;FALSO;
56;210;Mariner;;FALSO;
57;211;De Ville;;FALSO;
58;212;Phillip Seven;;FALSO;
59;213;Lorrane;;FALSO;
60;214;Iron Winer;;FALSO;
61;215;Van Dort;;FALSO;
62;216;Spy;;FALSO;
63;217;Detroit;;FALSO;
64;218;Valentieri;;FALSO;
65;219;Rit Sol;;FALSO;
66;220;X Games;;FALSO;
67;221;Hiper;;FALSO;
68;222;Tino;;FALSO;
69;223;Mosaic;;FALSO;
70;224;Di Verona;;FALSO;
71;225;Visua Sol;;FALSO;
72;226;Infinit;;FALSO;
73;227;Vedere;;FALSO;
74;228;Hebe Camargo;;FALSO;
75;229;Castelo;;FALSO;
76;230;Victori;;FALSO;
77;231;Hanis;;FALSO;
78;232;Slipy;;FALSO;
79;233;Roman;;FALSO;
80;234;Barbie;;FALSO;
81;235;Eschenbach;;FALSO;
82;236;Kako;;FALSO;
83;237;Pretty Baby;;FALSO;
84;238;Optima;;FALSO;
85;239;Turma da Monica;;VERDADEIRO;
86;240;Caili;;FALSO;
87;241;Vilari;;FALSO;
88;242;Disney;;FALSO;9
89;243;Pooh Disney;;VERDADEIRO;
90;244;Kbyte;;FALSO;
92;245;Steffani;;FALSO;
93;246;Atlanta;;FALSO;
94;247;Iron;;FALSO;6
95;1;MENINA BELLA;;VERDADEIRO;
96;2;Razza;;FALSO;
97;3;Bobby;;FALSO;
98;4;Hagnus;;FALSO;
99;5;Fits;;FALSO;
100;6;Rocco;;FALSO;
101;7;Ultralite;;FALSO;
102;8;Siloam;;VERDADEIRO;
103;9;Dulcet;;FALSO;
104;10;Valentino Light;;FALSO;
105;11;Claro;;FALSO;
106;12;Moia;;FALSO;
107;13;Atitude;;FALSO;
108;14;Darius;;FALSO;
109;15;BS;;FALSO;
110;16;Montana;;FALSO;
111;17;Meikai;;FALSO;
112;18;Vision;;FALSO;
113;19;Feberge;;FALSO;
114;20;Philippe Gray;;FALSO;
115;21;Chevron;;FALSO;
116;22;A Max;;FALSO;
117;23;Polaris;;FALSO;
118;24;Akira;;FALSO;
119;25;Agape;;FALSO;
120;26;Milenium;;FALSO;
121;27;Optiflex;;FALSO;
122;28;Field;;FALSO;
123;29;Vuiton;;FALSO;
124;30;Celebrity;;FALSO;
125;31;DV Colection;;FALSO;
126;32;Jordi la Cort;;FALSO;
127;33;Lentes de Contato;;FALSO;
128;34;Lente;;FALSO;
129;35;Givenchy;;VERDADEIRO;
130;36;Kaleido;;FALSO;
132;37;Dilly;;FALSO;
134;38;Dinastia;;FALSO;
137;39;Secret;;VERDADEIRO;4
138;40;SUNGLASSES;;VERDADEIRO;
139;41;Montmartre;;VERDADEIRO;
140;42;Vi Lauri;;FALSO;
141;43;SL;;FALSO;
142;44;SL Eyewear;;FALSO;
143;45;Hi Max;;FALSO;
144;46;She Lli Da;;FALSO;
146;47;D&G;;VERDADEIRO;
147;48;San Marino;;FALSO;
150;49;X Loop;;FALSO;
151;50;Hengpai;;FALSO;
152;51;Sniper;;FALSO;
153;52;Mandarina;;FALSO;
154;53;OSL;;FALSO;
155;54;Instyle;;FALSO;
156;55;TAG;;FALSO;
157;56;Pierre Cardin;;VERDADEIRO;
158;57;CMC;;VERDADEIRO;7
159;58;LE HAVRE;;VERDADEIRO;7
160;59;Spider Man;;VERDADEIRO;7
161;60;Bratz - Superpoderosas;;VERDADEIRO;7
162;61;LIFE;;VERDADEIRO;
163;62;HUGO CARRARO;;VERDADEIRO;
164;63;MONT CLAIR;;VERDADEIRO;
165;64;MARIE CLAIRE;;VERDADEIRO;
168;65;Oclin;;FALSO;
169;66;Turma da Mônica;;VERDADEIRO;
170;67;GUL;;FALSO;8
171;68;L;;FALSO;
175;69;Petenati;;FALSO;
176;70;Topstar;;FALSO;
177;71;Emporio Glasses;;FALSO;
178;72;Giorgio Cipriani;;FALSO;
179;73;Aolise;;FALSO;
180;74;Premier;;VERDADEIRO;
181;75;Neo Classic;;FALSO;
182;76;Snoopy;;FALSO;
183;77;Venetto;;FALSO;
184;78;Benetton;;VERDADEIRO;6
186;79;Playboy;;VERDADEIRO;
187;80;Tecnol;;VERDADEIRO;
189;81;Grafika;;FALSO;
190;82;SONE;;FALSO;
191;83;KILLER LOOP;;VERDADEIRO;
193;84;Carmim;;VERDADEIRO;7
194;85;FORUM;;VERDADEIRO;6
195;86;Storm;;FALSO;
196;87;OXIDO;;FALSO;
197;88;Polo Jeans co;;FALSO;
198;89;ABBACE;;FALSO;
199;90;TOPREM;;FALSO;
200;91;SHARA;;FALSO;
201;92;A'FATOS;;FALSO;
202;93;FORCE;;FALSO;
203;94;DI RUFFINA;;FALSO;
204;95;A'FROES;;FALSO;
205;96;FATOS;;FALSO;
206;97;ALOPD;;FALSO;
207;98;ARMANI EXCHANGE;;FALSO;
208;99;SF25;;FALSO;
209;100;PRINCESS DISNEY;;FALSO;9
211;101;SCORPIO;;FALSO;0
212;102;RACHEL;;FALSO;0
213;103;GUESS GU 1607;;FALSO;0
219;104;MISS SIXTY;;VERDADEIRO;5
220;105;MG SPORTS;;FALSO;9
221;106;Disney Tigrão;;FALSO;9
222;107;LOUNGE;;FALSO;0
223;108;SOARIN;;FALSO;0
