Código;Lk_Vendas;Data_Venc;Valor_Parcela;Data_Pgto;Valor_Pago;Número_parcela1;Número_parcela2;cartão;che pré;dinheiro;Requisição;multa;juros;comissão;recibo
11894;50;14/04/2016;52,00;16/04/2016;52,00;1;5;0,00;0,00;52,00;0,00;0,00;0,00;0,00;FALSO
11895;50;14/05/2016;52,00;20/05/2016;52,00;2;5;0,00;0,00;52,00;0,00;0,00;0,00;0,00;FALSO
11896;50;14/06/2016;52,00;05/07/2016;52,00;3;5;0,00;0,00;52,00;0,00;0,00;0,00;0,00;FALSO
11897;50;14/07/2016;52,00;05/08/2016;55,00;4;5;0,00;0,00;55,00;0,00;1,04;1,96;0,00;FALSO
11898;50;14/08/2016;52,00;06/09/2016;55,00;5;5;0,00;0,00;55,00;0,00;1,00;2,00;0,00;FALSO
11899;46;10/04/2016;60,00;31/03/2016;60,00;1;6;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
11900;46;10/05/2016;58,00;02/05/2016;58,00;2;6;0,00;0,00;58,00;0,00;0,00;0,00;0,00;FALSO
11901;46;10/06/2016;58,00;31/05/2016;58,00;3;6;0,00;0,00;58,00;0,00;0,00;0,00;0,00;FALSO
11902;46;10/07/2016;58,00;08/07/2016;58,00;4;6;0,00;0,00;58,00;0,00;0,00;0,00;0,00;FALSO
11903;46;10/08/2016;58,00;31/08/2016;60,00;5;6;0,00;0,00;60,00;0,00;1,00;1,00;0,00;FALSO
11904;46;10/09/2016;58,00;06/01/2017;60,00;6;6;0,00;0,00;60,00;0,00;0,00;2,00;0,00;FALSO
11905;58;15/04/2016;50,00;14/10/2016;68,00;1;2;0,00;0,00;68,00;0,00;1,00;17,00;0,00;FALSO
11906;58;15/05/2016;50,00;14/10/2016;62,00;2;2;0,00;0,00;62,00;0,00;1,00;11,00;0,00;FALSO
11907;52;15/04/2016;60,00;19/05/2016;65,00;1;5;0,00;0,00;65,00;0,00;1,00;4,00;0,00;FALSO
11908;52;15/05/2016;60,00;19/05/2016;60,00;2;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
11909;52;15/06/2016;60,00;30/07/2016;70,00;3;5;0,00;0,00;70,00;0,00;1,20;8,80;0,00;FALSO
11910;52;15/07/2016;60,00;30/07/2016;70,00;4;5;0,00;0,00;70,00;0,00;1,20;8,80;0,00;FALSO
11911;52;15/08/2016;60,00;30/07/2016;60,00;5;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
11912;47;14/04/2016;50,00;;0,00;1;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
11913;47;14/05/2016;50,00;;0,00;2;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
11914;47;14/06/2016;50,00;;0,00;3;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
11915;47;14/07/2016;50,00;;0,00;4;4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
11916;62;16/04/2016;50,00;18/04/2016;50,00;1;5;0,00;0,00;50,00;0,00;0,00;0,00;0,00;FALSO
11917;62;16/05/2016;50,00;28/05/2016;50,00;2;5;0,00;0,00;50,00;0,00;0,00;0,00;0,00;FALSO
11918;62;16/06/2016;50,00;01/07/2016;50,00;3;5;0,00;0,00;50,00;0,00;0,00;0,00;0,00;FALSO
11919;62;16/07/2016;50,00;06/08/2016;52,00;4;5;0,00;0,00;52,00;0,00;1,00;1,00;0,00;FALSO
11920;62;16/08/2016;50,00;12/09/2016;50,00;5;5;0,00;0,00;50,00;0,00;0,00;0,00;0,00;FALSO
11921;63;16/04/2016;30,00;17/03/2016;30,00;1;5;0,00;0,00;30,00;0,00;0,00;0,00;0,00;FALSO
11922;63;16/05/2016;30,00;17/03/2016;30,00;2;5;0,00;0,00;30,00;0,00;0,00;0,00;0,00;FALSO
11923;63;16/06/2016;30,00;17/05/2016;30,00;3;5;0,00;0,00;30,00;0,00;0,00;0,00;0,00;FALSO
11924;63;16/07/2016;30,00;11/06/2016;30,00;4;5;0,00;0,00;30,00;0,00;0,00;0,00;0,00;FALSO
11925;63;16/08/2016;30,00;11/06/2016;30,00;5;5;0,00;0,00;30,00;0,00;0,00;0,00;0,00;FALSO
11926;75;21/04/2016;160,00;22/04/2016;160,00;1;1;0,00;0,00;160,00;0,00;0,00;0,00;0,00;FALSO
11927;86;06/04/2016;30,00;06/04/2016;30,00;1;1;0,00;0,00;30,00;0,00;0,00;0,00;0,00;FALSO
11928;96;24/04/2016;130,00;27/04/2016;130,00;1;3;0,00;0,00;130,00;0,00;0,00;0,00;0,00;FALSO
11929;96;24/05/2016;130,00;24/05/2016;130,00;2;3;0,00;0,00;130,00;0,00;0,00;0,00;0,00;FALSO
11930;96;24/06/2016;130,00;27/06/2016;130,00;3;3;0,00;0,00;130,00;0,00;0,00;0,00;0,00;FALSO
11931;80;05/04/2016;160,00;24/03/2016;160,00;1;6;0,00;0,00;160,00;0,00;0,00;0,00;0,00;FALSO
11932;80;05/05/2016;156,00;07/05/2016;156,00;2;6;0,00;0,00;156,00;0,00;0,00;0,00;0,00;FALSO
11933;80;05/06/2016;156,00;13/06/2016;156,00;3;6;156,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
11934;80;05/07/2016;156,00;01/09/2016;156,00;4;6;156,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
11935;80;05/08/2016;156,00;19/10/2016;165,00;5;6;0,00;0,00;165,00;0,00;3,00;6,00;0,00;FALSO
11936;80;05/09/2016;156,00;01/12/2016;160,00;6;6;0,00;0,00;160,00;0,00;1,00;3,00;0,00;FALSO
11937;94;26/04/2016;200,00;04/05/2016;200,00;1;1;0,00;0,00;200,00;0,00;0,00;0,00;0,00;FALSO
11938;105;28/04/2016;140,00;26/04/2016;140,00;1;2;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
11939;105;28/05/2016;140,00;22/07/2016;140,00;2;2;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
11940;118;30/04/2016;60,00;02/05/2016;60,00;1;1;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
11941;117;30/04/2016;55,00;12/05/2016;55,00;1;2;0,00;0,00;55,00;0,00;0,00;0,00;0,00;FALSO
11942;117;30/05/2016;55,00;21/06/2016;55,00;2;2;0,00;0,00;55,00;0,00;0,00;0,00;0,00;FALSO
11946;123;01/04/2016;35,00;05/05/2016;35,00;1;6;0,00;0,00;35,00;0,00;0,00;0,00;0,00;FALSO
11947;123;01/05/2016;35,00;05/05/2016;35,00;2;6;0,00;0,00;35,00;0,00;0,00;0,00;0,00;FALSO
11948;123;01/06/2016;35,00;07/06/2016;35,00;3;6;0,00;0,00;35,00;0,00;0,00;0,00;0,00;FALSO
11949;123;01/07/2016;35,00;12/07/2016;35,00;4;6;0,00;0,00;35,00;0,00;0,00;0,00;0,00;FALSO
11950;123;01/08/2016;35,00;04/08/2016;35,00;5;6;0,00;0,00;35,00;0,00;0,00;0,00;0,00;FALSO
11951;123;01/09/2016;35,00;09/09/2016;35,00;6;6;0,00;0,00;35,00;0,00;0,00;0,00;0,00;FALSO
11952;116;05/05/2016;110,00;29/07/2016;110,00;1;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
11953;116;05/06/2016;40,00;29/07/2016;40,00;2;6;0,00;0,00;40,00;0,00;0,00;0,00;0,00;VERDADEIRO
11954;116;05/07/2016;180,00;16/09/2016;180,00;3;6;0,00;0,00;180,00;0,00;0,00;0,00;0,00;FALSO
11955;116;05/08/2016;20,00;16/09/2016;20,00;4;6;0,00;0,00;20,00;0,00;0,00;0,00;0,00;VERDADEIRO
11956;116;05/09/2016;220,00;18/10/2016;220,00;5;6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
11957;116;05/10/2016;130,00;08/12/2016;130,00;6;6;0,00;0,00;130,00;0,00;0,00;0,00;0,00;FALSO
11958;126;05/05/2016;98,00;30/04/2016;98,00;1;3;0,00;0,00;98,00;0,00;0,00;0,00;0,00;FALSO
11959;126;05/06/2016;96,00;08/06/2016;96,00;2;3;0,00;0,00;96,00;0,00;0,00;0,00;0,00;FALSO
11960;126;05/07/2016;96,00;04/07/2016;96,00;3;3;0,00;0,00;96,00;0,00;0,00;0,00;0,00;FALSO
11961;128;10/05/2016;70,00;13/05/2016;70,00;1;5;0,00;0,00;70,00;0,00;0,00;0,00;0,00;FALSO
11962;128;10/06/2016;70,00;10/06/2016;70,00;2;5;0,00;0,00;70,00;0,00;0,00;0,00;0,00;FALSO
11963;128;10/07/2016;70,00;08/07/2016;70,00;3;5;0,00;0,00;70,00;0,00;0,00;0,00;0,00;FALSO
