ID_Venda;Num_Parcela;Valor_Parcela;Valor_Pago;Data_Venc;Data_Pgto;Recibo;TIPO_ERRO
209;4;20,00;20,00;20/08/2016;23/06/2016;VERDADEIRO;Original
209;4;30,00;30,00;20/08/2016;24/08/2016;FALSO;Duplicata/Parcial
209;5;30,00;30,00;20/09/2016;27/06/2016;VERDADEIRO;Original
209;5;30,00;30,00;20/09/2016;06/09/2016;FALSO;Duplicata/Parcial
260;1;67,00;67,00;01/09/2016;20/06/2016;VERDADEIRO;Original
260;1;100,00;100,00;01/09/2016;20/07/2016;VERDADEIRO;Duplicata/Parcial
0;2;100,00;0,00;18/05/2016;;FALSO;Original
0;2;786,00;0,00;01/09/2016;;FALSO;Duplicata/Parcial
0;2;160,00;0,00;29/11/2016;;FALSO;Duplicata/Parcial
0;2;100,00;0,00;29/11/2016;;FALSO;Duplicata/Parcial
0;2;30,00;0,00;20/08/2017;;FALSO;Duplicata/Parcial
0;2;740,00;0,00;14/01/2018;;FALSO;Duplicata/Parcial
0;2;230,00;0,00;05/04/2018;;FALSO;Duplicata/Parcial
0;2;360,00;0,00;06/06/2018;;FALSO;Duplicata/Parcial
0;2;60,00;0,00;;;FALSO;Duplicata/Parcial
0;2;180,00;0,00;20/03/2020;;FALSO;Duplicata/Parcial
0;2;440,00;0,00;03/07/2020;;FALSO;Duplicata/Parcial
0;2;100,00;0,00;30/09/2020;;FALSO;Duplicata/Parcial
0;2;200,00;0,00;20/12/2020;;FALSO;Duplicata/Parcial
0;2;50,00;0,00;10/10/2022;;FALSO;Duplicata/Parcial
234;2;10,00;10,00;15/07/2016;14/06/2016;VERDADEIRO;Original
234;2;20,00;20,00;15/07/2016;12/07/2016;FALSO;Duplicata/Parcial
314;2;90,00;90,00;20/07/2016;19/07/2016;FALSO;Original
314;2;10,00;10,00;20/08/2016;19/07/2016;VERDADEIRO;Duplicata/Parcial
0;3;20,00;0,00;15/07/2016;;FALSO;Original
0;3;90,00;0,00;15/04/2017;;FALSO;Duplicata/Parcial
0;3;100,00;0,00;30/08/2017;;FALSO;Duplicata/Parcial
0;3;6,00;0,00;;;FALSO;Duplicata/Parcial
0;3;100,00;0,00;07/02/2019;;FALSO;Duplicata/Parcial
0;3;100,00;0,00;09/05/2019;;FALSO;Duplicata/Parcial
0;3;100,00;0,00;15/08/2020;;FALSO;Duplicata/Parcial
0;3;140,00;0,00;25/08/2024;;FALSO;Duplicata/Parcial
