ID_OS;ID_Venda;ID_Dependente_Original;ID_Dependente_Final;STATUS
394;540;423;423;NAO_EXISTE_NO_BANCO
395;540;424;424;NAO_EXISTE_NO_BANCO
605;841;641;641;NAO_EXISTE_NO_BANCO
712;1000;761;761;NAO_EXISTE_NO_BANCO
872;1252;923;923;NAO_EXISTE_NO_BANCO
2047;2891;2006;2006;NAO_EXISTE_NO_BANCO
2241;3167;923;923;NAO_EXISTE_NO_BANCO
2690;3823;412;412;NAO_EXISTE_NO_BANCO
2833;4020;641;641;NAO_EXISTE_NO_BANCO
3621;5356;3246;3246;NAO_EXISTE_NO_BANCO
3818;5703;641;641;NAO_EXISTE_NO_BANCO
3911;5873;3483;3483;NAO_EXISTE_NO_BANCO
5085;7724;4394;4394;NAO_EXISTE_NO_BANCO
7675;11883;6204;6204;NAO_EXISTE_NO_BANCO
