ID_Item;ID_Venda_CSV;ID_Produto_CSV;Qtd;Valor;DIAGNOSTICO
51;46;6116;1;240,00;Venda Pai Nao Existe no Banco
52;46;1534;1;110,00;Venda Pai Nao Existe no Banco
53;47;1542;1;200,00;Venda Pai Nao Existe no Banco
1289;830;1760;1;430,00;Venda Pai Nao Existe no Banco
1364;886;1542;1;200,00;Venda Pai Nao Existe no Banco
1860;1219;1534;1;160,00;Venda Pai Nao Existe no Banco
1862;1219;6567;1;100,00;Venda Pai Nao Existe no Banco
1863;1222;1542;1;260,00;Venda Pai Nao Existe no Banco
1864;1223;4680;1;300,00;Venda Pai Nao Existe no Banco
1865;1223;5926;1;240,00;Venda Pai Nao Existe no Banco
1866;1225;1542;1;200,00;Venda Pai Nao Existe no Banco
1867;1226;6696;1;460,00;Venda Pai Nao Existe no Banco
1868;1226;5459;1;-115,00;Venda Pai Nao Existe no Banco
1869;1227;5133;1;98,00;Venda Pai Nao Existe no Banco
1871;1228;3425;1;110,00;Venda Pai Nao Existe no Banco
1872;1228;1542;1;220,00;Venda Pai Nao Existe no Banco
1874;1229;1760;1;430,00;Venda Pai Nao Existe no Banco
1875;1229;6442;1;415,00;Venda Pai Nao Existe no Banco
1876;1230;1534;1;140,00;Venda Pai Nao Existe no Banco
1877;1230;6056;1;100,00;Venda Pai Nao Existe no Banco
1878;1230;5627;1;440,00;Venda Pai Nao Existe no Banco
1879;1231;1533;1;280,00;Venda Pai Nao Existe no Banco
1881;1231;2287;1;140,00;Venda Pai Nao Existe no Banco
1882;1232;1370;1;160,00;Venda Pai Nao Existe no Banco
1883;1233;1533;1;90,00;Venda Pai Nao Existe no Banco
1884;1234;5521;1;360,00;Venda Pai Nao Existe no Banco
1886;1235;1542;1;260,00;Venda Pai Nao Existe no Banco
1888;1236;5966;1;100,00;Venda Pai Nao Existe no Banco
1889;1237;6113;1;200,00;Venda Pai Nao Existe no Banco
1891;1237;4969;1;105,00;Venda Pai Nao Existe no Banco
1892;1238;4514;1;280,00;Venda Pai Nao Existe no Banco
1895;1241;1540;1;60,00;Venda Pai Nao Existe no Banco
1896;1242;3397;1;90,00;Venda Pai Nao Existe no Banco
1897;1244;1542;1;230,00;Venda Pai Nao Existe no Banco
1898;1245;1552;1;180,00;Venda Pai Nao Existe no Banco
1899;1245;5614;1;220,00;Venda Pai Nao Existe no Banco
1900;1247;6347;1;440,00;Venda Pai Nao Existe no Banco
1901;1247;4763;1;380,00;Venda Pai Nao Existe no Banco
1904;1248;1542;1;245,00;Venda Pai Nao Existe no Banco
1906;1249;1534;1;320,00;Venda Pai Nao Existe no Banco
1907;1248;6942;1;250,00;Venda Pai Nao Existe no Banco
1908;1250;1533;1;90,00;Venda Pai Nao Existe no Banco
1909;1250;6486;1;210,00;Venda Pai Nao Existe no Banco
1910;1235;6983;1;390,00;Venda Pai Nao Existe no Banco
1912;1253;6825;1;100,00;Venda Pai Nao Existe no Banco
1913;1254;1562;1;520,00;Venda Pai Nao Existe no Banco
1914;1255;1542;1;245,00;Venda Pai Nao Existe no Banco
1915;1255;7114;1;100,00;Venda Pai Nao Existe no Banco
1916;1256;1534;1;145,00;Venda Pai Nao Existe no Banco
1917;1256;6948;1;190,00;Venda Pai Nao Existe no Banco
1918;1258;6476;1;240,00;Venda Pai Nao Existe no Banco
1919;1260;1534;1;90,00;Venda Pai Nao Existe no Banco
1920;1261;1560;1;260,00;Venda Pai Nao Existe no Banco
1921;1261;5175;1;520,00;Venda Pai Nao Existe no Banco
1923;1262;930;2;1.060,00;Venda Pai Nao Existe no Banco
1924;1263;1533;1;90,00;Venda Pai Nao Existe no Banco
1925;1263;7004;1;210,00;Venda Pai Nao Existe no Banco
1926;1265;7402;1;200,00;Venda Pai Nao Existe no Banco
1927;1266;1534;1;160,00;Venda Pai Nao Existe no Banco
1928;1267;6478;1;190,00;Venda Pai Nao Existe no Banco
1929;1268;1534;1;160,00;Venda Pai Nao Existe no Banco
1930;1268;7125;1;380,00;Venda Pai Nao Existe no Banco
1931;1269;1752;1;250,00;Venda Pai Nao Existe no Banco
