family_name,raw_label,canonical_label,material,indice_refracao,base_price,cost_price,compatible_treatments,source_page_reference,confidence_level,section_name,subsection_name,availability_text,cost_hint,page_group,label_disambiguation_basis,is_atomic_offer
Quantum A.I.,1.53 Incolor,Quantum A.I. 1.53 Incolor,Resina,1.53,4960.0,1240.0,"Sigma Blue=5832.0|cost=1458.0, Sigma Supreme=6200.0|cost=1550.0, Sigma Premium=5680.0|cost=1420.0, Sigma Light=5368.0|cost=1342.0",Pagina 7,0.72,,1.53,,,,,False
Quantum A.I.,1.53 Incolor Antirreﬂexo Externo,Quantum A.I. 1.53 Incolor Antirreﬂexo Externo,Resina,1.53,5000.0,1250.0,,Pagina 7,0.72,,1.53,,,,,False
Quantum A.I.,1.53 Blue UV,Quantum A.I. 1.53 Blue UV,Resina,1.53,4980.0,1245.0,"Sigma Blue=5852.0|cost=1463.0, Sigma Supreme=6220.0|cost=1555.0, Sigma Premium=5700.0|cost=1425.0, Sigma Light=5388.0|cost=1347.0",Pagina 7,0.72,,1.53,,,,,False
Quantum A.I.,1.56 Blue UV Antirreﬂexo Externo,Quantum A.I. 1.56 Blue UV Antirreﬂexo Externo,Resina,1.56,5200.0,1300.0,,Pagina 7,0.72,,1.56,,,,,False
Quantum A.I.,1.56 Fotossensível,Quantum A.I. 1.56 Fotossensível,Resina,1.56,4840.0,1210.0,"Sigma Blue=5712.0|cost=1428.0, Sigma Supreme=6080.0|cost=1520.0, Sigma Premium=5560.0|cost=1390.0, Sigma Light=5248.0|cost=1312.0",Pagina 7,0.72,,1.56,,,,,False
Quantum A.I.,1.56 Fotossensível Blue UV,Quantum A.I. 1.56 Fotossensível Blue UV,Resina,1.56,5360.0,1340.0,"Sigma Blue=6232.0|cost=1558.0, Sigma Supreme=6600.0|cost=1650.0, Sigma Premium=6080.0|cost=1520.0, Sigma Light=5768.0|cost=1442.0",Pagina 7,0.72,,1.56,,,,,False
Quantum A.I.,1.56 Fotossensível Antirreﬂexo Externo,Quantum A.I. 1.56 Fotossensível Antirreﬂexo Externo,Resina,1.56,4920.0,1230.0,,Pagina 7,0.72,,1.56,,,,,False
Quantum A.I.,1.56 Fotossensível Blue Antirreﬂexo Externo,Quantum A.I. 1.56 Fotossensível Blue Antirreﬂexo Externo,Resina,1.56,4980.0,1245.0,,Pagina 7,0.72,,1.56,,,,,False
Quantum A.I.,1.59 Incolor,Quantum A.I. 1.59 Incolor,Policarbonato,1.59,5200.0,1300.0,"Sigma Blue=6072.0|cost=1518.0, Sigma Supreme=6440.0|cost=1610.0, Sigma Premium=5920.0|cost=1480.0, Sigma Light=5608.0|cost=1402.0",Pagina 7,0.72,,1.59,,,,,False
Quantum A.I.,1.59 Blue UV,Quantum A.I. 1.59 Blue UV,Policarbonato,1.59,5320.0,1330.0,"Sigma Blue=6192.0|cost=1548.0, Sigma Supreme=6560.0|cost=1640.0, Sigma Premium=6040.0|cost=1510.0, Sigma Light=5728.0|cost=1432.0",Pagina 7,0.72,,1.59,,,,,False
Quantum A.I.,1.60 Blue UV Antirreﬂexo Externo,Quantum A.I. 1.60 Blue UV Antirreﬂexo Externo,Resina,1.6,5560.0,1390.0,,Pagina 7,0.72,,1.60,,,,,False
Quantum A.I.,1.60 Fotossensível,Quantum A.I. 1.60 Fotossensível,Resina,1.6,5660.0,1415.0,"Sigma Blue=6532.0|cost=1633.0, Sigma Supreme=6900.0|cost=1725.0, Sigma Premium=6380.0|cost=1595.0, Sigma Light=6068.0|cost=1517.0",Pagina 7,0.72,,1.60,,,,,False
Quantum A.I.,1.67 Fotossensível Antirreﬂexo Externo,Quantum A.I. 1.67 Fotossensível Antirreﬂexo Externo,Resina,1.67,6880.0,1720.0,,Pagina 7,0.72,,1.67,,,,,False
Quantum A.I.,1.60 Fotossensível Blue UV,Quantum A.I. 1.60 Fotossensível Blue UV,Resina,1.6,6180.0,1545.0,"Sigma Blue=7052.0|cost=1763.0, Sigma Supreme=7420.0|cost=1855.0, Sigma Premium=6900.0|cost=1725.0, Sigma Light=6588.0|cost=1647.0",Pagina 7,0.72,,1.60,,,,,False
Quantum A.I.,1.60 Incolor,Quantum A.I. 1.60 Incolor,Resina,1.6,5760.0,1440.0,"Sigma Blue=6632.0|cost=1658.0, Sigma Supreme=7000.0|cost=1750.0, Sigma Premium=6480.0|cost=1620.0, Sigma Light=6168.0|cost=1542.0",Pagina 7,0.72,,1.60,,,,,False
Quantum A.I.,1.60 Incolor Antirreﬂexo Externo,Quantum A.I. 1.60 Incolor Antirreﬂexo Externo,Resina,1.6,5980.0,1495.0,,Pagina 7,0.72,,1.60,,,,,False
Quantum A.I.,1.60 Blue UV,Quantum A.I. 1.60 Blue UV,Resina,1.6,5760.0,1440.0,"Sigma Blue=6632.0|cost=1658.0, Sigma Supreme=7000.0|cost=1750.0, Sigma Premium=6480.0|cost=1620.0, Sigma Light=6168.0|cost=1542.0",Pagina 7,0.72,,1.60,,,,,False
Quantum A.I.,1.67 Blue UV Antirreﬂexo Externo,Quantum A.I. 1.67 Blue UV Antirreﬂexo Externo,Resina,1.67,5980.0,1495.0,,Pagina 7,0.72,,1.67,,,,,False
Quantum A.I.,1.67 Fotossensível,Quantum A.I. 1.67 Fotossensível,Resina,1.67,6540.0,1635.0,"Sigma Blue=7412.0|cost=1853.0, Sigma Supreme=7780.0|cost=1945.0, Sigma Premium=7260.0|cost=1815.0, Sigma Light=6948.0|cost=1737.0",Pagina 7,0.72,,1.67,,,,,False
Quantum A.I.,1.67 Fotossensível Blue UV,Quantum A.I. 1.67 Fotossensível Blue UV,Resina,1.67,7080.0,1770.0,"Sigma Blue=7952.0|cost=1988.0, Sigma Supreme=8320.0|cost=2080.0, Sigma Premium=7800.0|cost=1950.0, Sigma Light=7488.0|cost=1872.0",Pagina 7,0.72,,1.67,,,,,False
Quantum A.I.,1.67 Photofusion,Quantum A.I. 1.67 Photofusion,Resina,1.67,8460.0,2115.0,"Sigma Blue=9332.0|cost=2333.0, Sigma Supreme=9700.0|cost=2425.0, Sigma Premium=9180.0|cost=2295.0, Sigma Light=8868.0|cost=2217.0",Pagina 7,0.72,,1.67,,,,,False
Quantum A.I.,1.67 Transitions Cinza,Quantum A.I. 1.67 Transitions Cinza,Resina,1.67,8480.0,2120.0,"Sigma Blue=9352.0|cost=2338.0, Sigma Supreme=9720.0|cost=2430.0, Sigma Premium=9200.0|cost=2300.0, Sigma Light=8888.0|cost=2222.0",Pagina 7,0.72,,1.67,,,,,False
Quantum A.I.,1.67 Incolor,Quantum A.I. 1.67 Incolor,Resina,1.67,6500.0,1625.0,"Sigma Blue=7372.0|cost=1843.0, Sigma Supreme=7740.0|cost=1935.0, Sigma Premium=7220.0|cost=1805.0, Sigma Light=6908.0|cost=1727.0",Pagina 7,0.72,,1.67,,,,,False
Quantum A.I.,1.74 Blue UV,Quantum A.I. 1.74 Blue UV,Resina,1.74,6880.0,1720.0,"Sigma Blue=7752.0|cost=1938.0, Sigma Supreme=8120.0|cost=2030.0, Sigma Premium=7600.0|cost=1900.0, Sigma Light=7288.0|cost=1822.0",Pagina 7,0.72,,1.74,,,,,False
Quantum A.I.,1.74 Fotossensível,Quantum A.I. 1.74 Fotossensível,Resina,1.74,8240.0,2060.0,"Sigma Blue=9112.0|cost=2278.0, Sigma Supreme=9480.0|cost=2370.0, Sigma Premium=8960.0|cost=2240.0, Sigma Light=8648.0|cost=2162.0",Pagina 7,0.72,,1.74,,,,,False
Quantum A.I.,1.74 Transitions Cinza,Quantum A.I. 1.74 Transitions Cinza,Resina,1.74,10840.0,2710.0,"Sigma Blue=11712.0|cost=2928.0, Sigma Supreme=12080.0|cost=3020.0, Sigma Premium=11560.0|cost=2890.0, Sigma Light=11248.0|cost=2812.0",Pagina 7,0.72,,1.74,,,,,False
Gamavision 4K,1.53 Incolor,Gamavision 4K 1.53 Incolor,Resina,1.53,3040.0,760.0,"Sigma Blue=3912.0|cost=978.0, Sigma Supreme=4280.0|cost=1070.0, Sigma Premium=3760.0|cost=940.0, Sigma Light=3448.0|cost=862.0",Pagina 8,0.72,,1.53,,,,,False
Gamavision 4K,1.53 Incolor Antirreﬂexo Externo,Gamavision 4K 1.53 Incolor Antirreﬂexo Externo,Resina,1.53,2980.0,745.0,"Sigma Blue=3852.0|cost=963.0, Sigma Supreme=4220.0|cost=1055.0, Sigma Premium=3700.0|cost=925.0, Sigma Light=3388.0|cost=847.0",Pagina 8,0.72,,1.53,,,,,False
Gamavision 4K,1.53 Blue UV,Gamavision 4K 1.53 Blue UV,Resina,1.53,3040.0,760.0,"Sigma Blue=3912.0|cost=978.0, Sigma Supreme=4280.0|cost=1070.0, Sigma Premium=3760.0|cost=940.0, Sigma Light=3448.0|cost=862.0",Pagina 8,0.72,,1.53,,,,,False
Gamavision 4K,1.56 Blue UV Antirreﬂexo Externo,Gamavision 4K 1.56 Blue UV Antirreﬂexo Externo,Resina,1.56,3200.0,800.0,"Sigma Blue=4072.0|cost=1018.0, Sigma Supreme=4440.0|cost=1110.0, Sigma Premium=3920.0|cost=980.0, Sigma Light=3608.0|cost=902.0",Pagina 8,0.72,,1.56,,,,,False
Gamavision 4K,1.56 Fotossensível,Gamavision 4K 1.56 Fotossensível,Resina,1.56,2920.0,730.0,"Sigma Blue=3792.0|cost=948.0, Sigma Supreme=4160.0|cost=1040.0, Sigma Premium=3640.0|cost=910.0, Sigma Light=3328.0|cost=832.0",Pagina 8,0.72,,1.56,,,,,False
Gamavision 4K,1.56 Fotossensível Blue UV,Gamavision 4K 1.56 Fotossensível Blue UV,Resina,1.56,3320.0,830.0,"Sigma Blue=4192.0|cost=1048.0, Sigma Supreme=4560.0|cost=1140.0, Sigma Premium=4040.0|cost=1010.0, Sigma Light=3728.0|cost=932.0",Pagina 8,0.72,,1.56,,,,,False
