page_number,family_name,line_count,clean_blocks,manual_sections,manual_items,extra_json,skip_reason
7,Quantum A.I.,574,4,,,,
8,Gamavision 4K,557,4,,,,
9,Gamavision Pro Individual,557,4,,,,
10,Dynamic Premium,541,4,,,,
11,Gamavision Freeform,539,4,,,,
12,Dynamic Pro,548,5,,,,
13,Life,318,5,,,,
14,Gama HD,321,5,,,,
15,Dynamic Work,507,6,,,,
16,Dynamic Relax,568,3,,,,
17,Dynamic Single,534,4,,,,
18,MioKids,65,0,,,"{""manual_offers"": 1}",
19,Visão Simples Surfaçadas Digital,544,4,,,,
20,Multifocais Multimarcas,56,,11,,,
21,Bifocais,44,,2,,,
22,Estoque / Prontas / Acabadas,32,,1,,,
23,Estoque / Prontas / Acabadas,50,,1,,,
24,Estoque / Prontas / Acabadas,34,,4,,,
25,Solares,44,,7,,,
26,Tratamentos e Serviços,49,,,66,,
