family_name,raw_label,canonical_label,material,indice_refracao,base_price,compatible_treatments,source_page_reference,confidence_level
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,11069.0,"Crizal Easy Pro=11449.0, Optifog=11449.0",Pagina 11,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,10609.0,Verniz Hc=10609.0,Pagina 11,0.78
VARILUX® XR SERIES,Airwear + Transitions Extractive,VARILUX® XR SERIES DIGITAL Airwear + Transitions Extractive,Policarbonato,,12649.0,"Crizal Easy Pro=13029.0, Optifog=13029.0",Pagina 11,0.86
VARILUX® XR SERIES,Airwear + Transitions Gen S,VARILUX® XR SERIES DIGITAL Airwear + Transitions Gen S,Policarbonato,,12589.0,"Crizal Easy Pro=12969.0, Optifog=12969.0",Pagina 11,0.86
VARILUX® XR SERIES,Airwear + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Airwear + Xperio cinza/marrom,Policarbonato,,11119.0,"Crizal Easy Pro=11779.0, Optifog=11759.0, Verniz Hc=11119.0",Pagina 11,0.78
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL Orma,Resina,,10649.0,"Crizal Easy Pro=11029.0, Optifog=11029.0",Pagina 11,0.86
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL Orma,Resina,,10189.0,Verniz Hc=10189.0,Pagina 11,0.78
VARILUX® XR SERIES,Orma + Coloração especial,VARILUX® XR SERIES DIGITAL Orma + Coloração especial,Resina,,10299.0,Verniz Hc=10299.0,Pagina 11,0.78
VARILUX® XR SERIES,Orma + Transitions Extractive,VARILUX® XR SERIES DIGITAL Orma + Transitions Extractive,Resina,,12229.0,"Crizal Easy Pro=12609.0, Optifog=12609.0",Pagina 11,0.86
VARILUX® XR SERIES,Orma + Transitions Gen S,VARILUX® XR SERIES DIGITAL Orma + Transitions Gen S,Resina,,12169.0,"Crizal Easy Pro=12549.0, Optifog=12549.0",Pagina 11,0.86
VARILUX® XR SERIES,Orma + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Orma + Xperio cinza/marrom,Resina,,10699.0,"Crizal Easy Pro=11359.0, Optifog=11339.0, Verniz Hc=10699.0",Pagina 11,0.78
VARILUX® XR SERIES,Stylis 1.67,VARILUX® XR SERIES DIGITAL Stylis 1.67,Resina High Index,1.67,13849.0,"Crizal Easy Pro=14229.0, Optifog=14229.0",Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Extractive,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Extractive,Resina High Index,1.67,15429.0,"Crizal Easy Pro=15809.0, Optifog=15809.0",Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,15369.0,"Crizal Easy Pro=15749.0, Optifog=15749.0",Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.74,VARILUX® XR SERIES DIGITAL Stylis 1.74,Resina High Index,1.74,16099.0,Optifog=16099.0,Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.74 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.74 + Transitions Gen S,Resina High Index,1.74,17619.0,Optifog=17619.0,Pagina 11,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,6939.0,"Crizal Easy Pro=7209.0, Optifog=7209.0, Verniz Hc=6939.0",Pagina 12,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL Airwear,Policarbonato,,6369.0,Verniz Hc=6369.0,Pagina 12,0.78
VARILUX® XR SERIES,Airwear + Transitions Extractive,VARILUX® XR SERIES DIGITAL Airwear + Transitions Extractive,Policarbonato,,8519.0,"Crizal Easy Pro=8789.0, Optifog=8789.0, Verniz Hc=8519.0",Pagina 12,0.86
VARILUX® XR SERIES,Airwear + Transitions Gen S,VARILUX® XR SERIES DIGITAL Airwear + Transitions Gen S,Policarbonato,,8459.0,"Crizal Easy Pro=8729.0, Optifog=8729.0, Verniz Hc=8459.0",Pagina 12,0.86
VARILUX® XR SERIES,Airwear + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Airwear + Xperio cinza/marrom,Policarbonato,,6879.0,"Crizal Easy Pro=7539.0, Optifog=7519.0, Verniz Hc=6879.0",Pagina 12,0.78
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL Orma,Resina,,6519.0,"Crizal Easy Pro=6789.0, Optifog=6789.0, Verniz Hc=6519.0",Pagina 12,0.86
