family_name,raw_label,canonical_label,material,indice_refracao,base_price,compatible_treatments,source_page_reference,confidence_level
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL XR Pro Airwear,Policarbonato,1.59,11069.0,"Crizal Prevencia=11449.0, Crizal Sapphire HR=11449.0, Optifog=11069.0",Pagina 11,0.86
VARILUX® XR SERIES,Airwear + Transitions Extractive,VARILUX® XR SERIES DIGITAL XR Pro Airwear + Transitions Extractive,Policarbonato,1.59,12649.0,"Crizal Prevencia=13029.0, Crizal Sapphire HR=13029.0, Optifog=12649.0",Pagina 11,0.86
VARILUX® XR SERIES,Airwear + Transitions Gen S,VARILUX® XR SERIES DIGITAL XR Pro Airwear + Transitions Gen S,Policarbonato,1.59,12589.0,"Crizal Prevencia=12969.0, Crizal Sapphire HR=12969.0, Optifog=12589.0",Pagina 11,0.86
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL XR Pro Orma,Resina,1.5,10649.0,"Crizal Prevencia=11029.0, Crizal Sapphire HR=11029.0, Optifog=10649.0",Pagina 11,0.86
VARILUX® XR SERIES,Orma + Transitions Extractive,VARILUX® XR SERIES DIGITAL XR Pro Orma + Transitions Extractive,Resina,1.5,12229.0,"Crizal Prevencia=12609.0, Crizal Sapphire HR=12609.0, Optifog=12229.0",Pagina 11,0.86
VARILUX® XR SERIES,Orma + Transitions Gen S,VARILUX® XR SERIES DIGITAL XR Pro Orma + Transitions Gen S,Resina,1.5,12169.0,"Crizal Prevencia=12549.0, Crizal Sapphire HR=12549.0, Optifog=12169.0",Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.67,VARILUX® XR SERIES DIGITAL XR Pro Stylis 1.67,Resina High Index,1.67,13849.0,"Crizal Prevencia=14229.0, Crizal Sapphire HR=14229.0, Optifog=13849.0",Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Extractive,VARILUX® XR SERIES DIGITAL XR Pro Stylis 1.67 + Transitions Extractive,Resina High Index,1.67,15429.0,"Crizal Prevencia=15809.0, Crizal Sapphire HR=15809.0, Optifog=15429.0",Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Gen S,VARILUX® XR SERIES DIGITAL XR Pro Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,15369.0,"Crizal Prevencia=15749.0, Crizal Sapphire HR=15749.0, Optifog=15369.0",Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.74,VARILUX® XR SERIES DIGITAL XR Pro Stylis 1.74,Resina High Index,1.74,16099.0,Crizal Sapphire HR=16099.0,Pagina 11,0.86
VARILUX® XR SERIES,Stylis 1.74 + Transitions Gen S,VARILUX® XR SERIES DIGITAL XR Pro Stylis 1.74 + Transitions Gen S,Resina High Index,1.74,17619.0,Crizal Sapphire HR=17619.0,Pagina 11,0.86
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES SOLARES / COLORAÇÃO XR Pro Airwear,Policarbonato,1.59,10609.0,Verniz Hc=10609.0,Pagina 11,0.78
VARILUX® XR SERIES,Airwear + Xperio cinza/marrom,VARILUX® XR SERIES SOLARES / COLORAÇÃO XR Pro Airwear + Xperio cinza/marrom,Policarbonato,1.59,11119.0,"Crizal Sapphire HR=11779.0, Optifog=11759.0, Verniz Hc=11119.0",Pagina 11,0.78
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES SOLARES / COLORAÇÃO XR Pro Orma,Resina,1.5,10189.0,Verniz Hc=10189.0,Pagina 11,0.78
VARILUX® XR SERIES,Orma + Coloração especial,VARILUX® XR SERIES SOLARES / COLORAÇÃO XR Pro Orma + Coloração especial,Resina,1.5,10299.0,Verniz Hc=10299.0,Pagina 11,0.78
VARILUX® XR SERIES,Orma + Xperio cinza/marrom,VARILUX® XR SERIES SOLARES / COLORAÇÃO XR Pro Orma + Xperio cinza/marrom,Resina,1.5,10699.0,"Crizal Sapphire HR=11359.0, Optifog=11339.0, Verniz Hc=10699.0",Pagina 11,0.78
VARILUX® XR SERIES,Airwear,VARILUX® XR SERIES DIGITAL XR Track Airwear,Policarbonato,1.59,6589.0,"Crizal Prevencia=7209.0, Crizal Sapphire HR=7209.0, Crizal Rock=6939.0, Crizal Easy Pro=6589.0, Optifog=6829.0",Pagina 12,0.86
