page_number,page_parser_type,family_name,offers_detected,parser_notes,extra_notes
1,ignored_page,,0,Pagina ignorada nesta rodada: TABELA PROMOCIONAL DE PREÇOS,
2,ignored_page,,0,Pagina ignorada nesta rodada: Optilab,
3,marketing_description_page,,0,"Pagina descritiva: Prezado, parceiro.",
4,marketing_description_page,,0,Pagina descritiva: CONHEÇA NOSSOS MATERIAIS,
5,marketing_description_page,,0,Pagina descritiva: CONHEÇA A GAMA DE PRODUTOS TRANSITIONS,
6,marketing_description_page,,0,Pagina descritiva: CONHEÇA NOSSOS MATERIAIS,
7,marketing_description_page,,0,Pagina descritiva: CONHEÇA A GAMA CRIZAL,
8,marketing_description_page,,0,Pagina descritiva: TABELA COMPARATIVA VARILUX XR SERIES,
9,marketing_description_page,,0,Pagina descritiva: LENTES MULTIFOCAIS VARILUX®,
10,marketing_description_page,,0,Pagina descritiva: Visão de alta deﬁnição em qualquer,
11,pricing_matrix_page,VARILUX® XR SERIES,16,Tabela matricial principal.,
12,pricing_matrix_page,VARILUX® XR SERIES,16,Tabela matricial principal.,
13,pricing_matrix_page,VARILUX® XR SERIES,16,Tabela matricial principal.,
14,pricing_matrix_page,VARILUX® XR SERIES,16,Tabela matricial principal.,
15,pricing_matrix_page,VARILUX® Physio® Extensee,12,Tabela matricial principal.,
16,pricing_matrix_page,VARILUX® Physio® Extensee,12,Tabela matricial principal.,
17,pricing_matrix_page,VARILUX® COMFORT,9,Tabela matricial principal.,
18,pricing_matrix_page,VARILUX® COMFORT,14,Tabela matricial principal.,
19,pricing_matrix_page,VARILUX® LIBERTY,15,Tabela matricial principal.,
20,pricing_matrix_page,VARILUX® ACTIVITIES,15,Tabela matricial principal.,
21,marketing_description_page,,0,Pagina descritiva: LENTES VISÃO SIMPLES EYEZEN®,
22,pricing_matrix_page,LENTES EYEZEN BOOST®,10,Tabela matricial principal.,
23,pricing_matrix_page,LENTES EYEZEN BOOST®,10,Tabela matricial principal.,
24,pricing_matrix_page,LENTES EYEZEN BOOST®,15,Tabela matricial principal.,
25,pricing_matrix_page,LENTES EYEZEN START®,15,Tabela matricial principal.,
26,pricing_matrix_page,LINHA KIDS,5,Tabela matricial principal.,
27,stock_ready_lenses_page,EYEZEN® START STOCK | LENTES PRONTAS CRIZAL®,14,Tabela de lentes prontas / stock.,
28,pricing_matrix_page,LENTES ESSILOR®,14,Tabela matricial principal.,
29,pricing_matrix_page,LENTES ESSILOR®,2,Tabela matricial principal.,
30,marketing_description_page,,0,Pagina descritiva: LENTES KODAK®,
31,marketing_description_page,,0,Pagina descritiva: LENTES KODAK®,
32,pricing_matrix_page,LENTES KODAK®,13,Tabela matricial principal.,
33,pricing_matrix_page,LENTES KODAK®,13,Tabela matricial principal.,
34,pricing_matrix_page,LENTES KODAK®,13,Tabela matricial principal.,
35,pricing_matrix_page,LENTES KODAK®,20,Tabela matricial principal.,
36,pricing_matrix_page,LENTES KODAK®,10,Tabela matricial principal.,
37,pricing_matrix_page,LENTES ESPACE®,16,Tabela matricial principal.,
38,pricing_matrix_page,LENTES BIFOCAIS,7,Tabela matricial principal.,
39,multi_section_page,iTop,10,Pagina com multiplos blocos independentes.,"Ultra Light adicional detectado: 720,00"
40,pricing_matrix_page,iTop Visão Simples - Blocos,13,Tabela matricial principal.,
41,ignored_page,,0,Pagina ignorada nesta rodada: iTop Summer,
42,ignored_page,,0,"Pagina ignorada nesta rodada: A marca registrada KODAK, logotipo e o seu conjunto-imagem são usados sob licença da KODAK.",
43,service_price_and_ready_lenses_page,LENTES VS SOLARES PLANAS ACABADAS,4,Pagina hibrida com servicos e lentes prontas.,Servicos/tratamentos extraidos da mesma pagina. | Itens de servico/promocao categorizados: 46
44,ignored_page,,0,Pagina ignorada nesta rodada: transitions.com/pt-br/teste-virtual/ transitions.com/pt-br/quiz/ global.transitions.com/pt/pairing-toolPT-BR/,
