Código;Data_Pedido;Data_Venda;Fechar Venda?;Valor_Venda;Custo;Valor_Prazo;Lk_clientes;Número_parcelas;Entrada;Observação;Lk_vendedor;Sinal;Sinal Din;Sinal Ch;Sinal Cartão;Cheque;Cartão;Dinheiro;Funcionário;Recibo Impresso?;justificativa;Requisição;consignação;fechar consignação;primeiro venc;parcelas geradas?;venda quitada?
48;14/03/2016;18/03/2016;VERDADEIRO;165;0;0;6510;0;65;;3;100;100;0;0;0;0;65;;VERDADEIRO;;0;FALSO;FALSO;;FALSO;FALSO
50;14/03/2016;14/03/2016;VERDADEIRO;360;0;260;1609;5;100;;3;0;0;0;0;0;0;100;;VERDADEIRO;;0;FALSO;FALSO;14/04/2016;VERDADEIRO;FALSO
51;14/03/2016;09/01/2019;VERDADEIRO;150;0;0;6511;0;150;;3;0;0;0;0;0;150;0;;VERDADEIRO;;0;FALSO;FALSO;14/04/2016;FALSO;FALSO
52;14/03/2016;15/03/2016;VERDADEIRO;400;0;300;6512;5;0;;4;100;100;0;0;0;0;0;;FALSO;;0;FALSO;FALSO;15/04/2016;VERDADEIRO;FALSO
54;14/03/2016;16/03/2016;VERDADEIRO;180;0;0;6513;0;80;;3;100;100;0;0;0;0;80;;VERDADEIRO;;0;FALSO;FALSO;;FALSO;FALSO
55;14/03/2016;30/05/2016;VERDADEIRO;100;0;290;3083;0;100;ARMAÇÃO DA PROMOÇÃO;4;0;0;0;0;0;0;100;;VERDADEIRO;;0;FALSO;FALSO;;FALSO;FALSO
56;15/03/2016;15/03/2016;VERDADEIRO;600;0;0;5589;0;600;;4;0;0;0;0;0;600;0;;VERDADEIRO;;0;FALSO;FALSO;;FALSO;FALSO
57;15/03/2016;13/04/2016;VERDADEIRO;250;0;0;201;0;250;;4;0;0;0;0;0;0;250;;VERDADEIRO;;0;FALSO;FALSO;;FALSO;FALSO
58;15/03/2016;15/03/2016;VERDADEIRO;150;0;100;5362;2;50;;3;0;0;0;0;0;0;50;;VERDADEIRO;;0;FALSO;FALSO;15/04/2016;VERDADEIRO;FALSO
59;16/03/2016;16/03/2016;VERDADEIRO;60;0;0;2159;0;60;;3;0;0;0;0;0;0;60;;VERDADEIRO;;0;FALSO;FALSO;16/04/2016;FALSO;FALSO
